date,Mkt-RF,SMB,HML,RMW,CMA,RF,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx,delta_Index
196307,-0.0039000000000000003,-0.0040999999999999995,-0.0097,0.0068000000000000005,-0.0118,0.0027,69.13,2.20333,3.88,0.5766216585421969,0.0318,0.0426,0.0484,0.0407,0.009318731998097048,0.0027,0.0032679738562091387,0.0031,0.0028,0.0005297970815772215,-0.001821,-0.003131,-0.003459708807842188
196308,0.0507,-0.008,0.018000000000000002,0.0036,-0.0034999999999999996,0.0025,72.5,2.20667,3.92,0.5498272363297317,0.0332,0.0429,0.0483,0.0408,0.009520076120336536,0.0025,0.0,0.0021,0.0035,0.0003269086200306698,0.053466,0.048496,0.048748734268769134
196309,-0.015700000000000002,-0.0052,0.0013,-0.0070999999999999995,0.0029,0.0027,71.7,2.21,3.96,0.547223624776539,0.0338,0.0431,0.0484,0.041,0.010313262047910655,0.0027,0.0,0.0004,-0.0023,0.000329910267015851,-0.010402,-0.011579,-0.011034482758620623
196310,0.0253,-0.0139,-0.001,0.027999999999999997,-0.020099999999999996,0.0029,74.01,2.23333,3.98,0.5309640771685447,0.0345,0.0432,0.0483,0.0415,0.010279966125778554,0.0029,0.0032573289902280145,-0.0026,0.0049,0.0005035319049855499,0.034825,0.03329,0.032217573221757334
196311,-0.0085,-0.0088,0.0175,-0.0051,0.022400000000000003,0.0027,73.23,2.25667,4.0,0.5342962212865746,0.0352,0.0433,0.0484,0.0414,0.006012545241775674,0.0027,0.0,0.0051,0.0015,0.003110165661842049,-0.004487,-0.011085,-0.010539116335630316
196312,0.0183,-0.021,-0.0002,0.0003,-0.0007000000000000001,0.0029,75.02,2.28,4.02,0.5255914542237368,0.0352,0.0435,0.048499999999999995,0.0417,0.008954730261391954,0.0029,0.0032467532467532756,-0.0006,-0.0034,0.00027356667626276583,0.026065,0.024651,0.02444353407073585
196401,0.022400000000000003,0.0013,0.0148,0.0017000000000000001,0.0147,0.003,77.04,2.29667,4.07333,0.510606870909415,0.0352,0.043899999999999995,0.0483,0.0421,0.014293570495222549,0.003,0.0,-0.0014,0.0087,0.0001833411105072051,0.027391,0.026373,0.02692615302585999
196402,0.0154,0.0028000000000000004,0.0281,-0.0005,0.0091,0.0026,77.8,2.31333,4.12667,0.5011622965980953,0.0353,0.0436,0.0483,0.0424,0.017407918627132556,0.0026,0.0,-0.0011,0.0054,7.169954746727038e-05,0.017015,0.012171,0.009865005192107867
196403,0.0141,0.0123,0.034,-0.022099999999999998,0.0322,0.0031,78.98,2.33,4.18,0.5236754417243542,0.0354,0.0438,0.0483,0.0424,0.017783239149849746,0.0031,0.0,0.0037,-0.0062,0.00011471138055620209,0.017232,0.015814,0.015167095115681262
196404,0.001,-0.0152,-0.0067,-0.0127,-0.0108,0.0029,79.46,2.34667,4.23,0.5253031069230485,0.0347,0.044000000000000004,0.048499999999999995,0.0423,0.020768003420401564,0.0029,0.0,0.0047,0.004,0.00025475515225983306,0.006192,0.005297,0.006077487971638318
196405,0.014199999999999999,-0.0063,0.018600000000000002,-0.0016,0.0017000000000000001,0.0026,80.37,2.36333,4.28,0.5190357804426246,0.0348,0.0441,0.048499999999999995,0.0422,0.021179316276947458,0.0026,0.0,0.005,0.0057,0.00022577711719403738,0.016815,0.01146,0.011452303045557555
196406,0.0127,0.0029,0.0062,-0.0028000000000000004,-0.0017000000000000001,0.003,81.69,2.38,4.33,0.5122068550811786,0.0348,0.0441,0.048499999999999995,0.0419,0.020502979903268756,0.003,0.003236245954692629,0.0069,0.0048,0.00039785086856362987,0.018084,0.016779,0.01642403882045529
196407,0.0174,0.005,0.0075,0.0008,0.0191,0.003,83.18,2.4,4.37667,0.5063607181072405,0.0346,0.044000000000000004,0.0483,0.0421,0.021312691433144165,0.003,0.003225806451612856,0.0008,0.0052,0.0001989066578310932,0.01891,0.017953,0.01823968662014952
196408,-0.0144,0.0040999999999999995,0.0008,0.0012,0.0034999999999999996,0.0028000000000000004,81.83,2.42,4.42333,0.5079429443755367,0.035,0.0441,0.0482,0.0423,0.020696675098255478,0.0028000000000000004,-0.003215434083601365,0.002,0.0037,0.00042592625682035353,-0.011621,-0.016285,-0.016229862947824136
196409,0.0269,-0.0034000000000000002,0.017,-0.005600000000000001,0.0062,0.0028000000000000004,84.18,2.44,4.47,0.4865371214457886,0.0353,0.044199999999999996,0.0482,0.0421,0.020403145603255735,0.0028000000000000004,0.003225806451612856,0.005,0.0021,0.00017049742327560072,0.030399,0.029022,0.028718074055969822
196410,0.0059,0.0087,0.011699999999999999,-0.0043,0.004699999999999999,0.0029,84.86,2.46,4.49667,0.48781325880789844,0.035699999999999996,0.044199999999999996,0.0481,0.0421,0.0201157932004039,0.0029,0.0,0.0043,0.005,0.00018704386666130088,0.008745,0.007566,0.00807792824899023
196411,0.0,-0.0015,-0.0196,0.0063,-0.0026,0.0029,84.42,2.48,4.52333,0.486503775287573,0.0364,0.0443,0.0481,0.0422,0.019167478443163972,0.0029,0.003215434083601254,0.0017,-0.0004,0.00021286585460055077,0.001598,-0.004588,-0.005185010605703533
196412,0.0003,-0.0069,-0.0248,0.010700000000000001,-0.015,0.0031,84.75,2.5,4.55,0.4872273002871426,0.0384,0.0444,0.0481,0.0423,0.02309536942769029,0.0031,0.0,0.003,0.0088,0.0003512132858212789,0.005228,0.003803,0.003909026297086005
196501,0.0354,0.024399999999999998,0.0012,0.0091,0.001,0.0028000000000000004,87.56,2.51667,4.59333,0.47172319074939634,0.0381,0.0443,0.048,0.0422,0.01790380047486088,0.0028000000000000004,0.0,0.004,0.0081,0.00016581280118521305,0.034791,0.033837,0.033156342182890874
196502,0.0044,0.0331,0.0011,0.0023,-0.0068000000000000005,0.003,87.43,2.53333,4.63667,0.4713994775755965,0.0393,0.0441,0.0478,0.0424,0.014823267340740987,0.003,0.0,0.0014,0.0009,0.0003931965476332794,0.003746,-0.000853,-0.0014846962083142623
196503,-0.0134,0.0212,0.0103,-0.0032,0.0069,0.0036,86.16,2.55,4.68,0.469489904954727,0.0393,0.044199999999999996,0.0478,0.0422,0.019134280875449588,0.0036,0.0032051282051281937,0.0054,0.0012,0.00014462028189985647,-0.012213,-0.013685,-0.014525906439437408
196504,0.0311,0.0105,0.0066,0.003,-0.022000000000000002,0.0031,89.11,2.57,4.73333,0.45255933471392484,0.0393,0.0443,0.048,0.0422,0.014722572331669861,0.0031,0.0031948881789136685,0.0036,0.0021,0.00016275968488075286,0.035612,0.034769,0.03423862581244208
196505,-0.0077,0.001,-0.0161,-0.0045000000000000005,0.0053,0.0031,88.42,2.59,4.78667,0.4546642847806196,0.038900000000000004,0.0444,0.0481,0.0423,0.016245056568909486,0.0031,0.0,0.0018,-0.0008,0.00033376402913468236,-0.003122,-0.008354,-0.007743238693749266
196506,-0.055099999999999996,-0.042800000000000005,0.0059,0.0022,0.0037,0.0034999999999999996,84.12,2.61,4.84,0.480858956487679,0.038,0.0446,0.048499999999999995,0.0423,0.01755122257685039,0.0034999999999999996,0.006369426751592355,0.0047,0.0003,0.0018293746304502963,-0.04688,-0.048367,-0.048631531327753885
196507,0.0143,0.0108,0.022000000000000002,-0.0137,0.0003,0.0031,85.25,2.62667,4.88667,0.47338217615170003,0.0384,0.044800000000000006,0.048799999999999996,0.0424,0.01562749390520257,0.0031,0.0,0.0022,0.0019,0.0005218655993088785,0.014486,0.013678,0.013433190679980944
196508,0.0273,0.0271,-0.01,0.019,-0.0074,0.0033,87.17,2.64333,4.93333,0.46736087784122715,0.0384,0.0449,0.048799999999999996,0.0428,0.015601188262299318,0.0033,0.0,-0.0013,-0.0006,0.00010753436077897705,0.02756,0.022473,0.022521994134897305
